id,word,probability
1,sobre,0.9999546021312976
2,entre,0.9999544741838006
3,habia,0.9999543458757181
4,hasta,0.999954217206034
5,desde,0.9999540881737293
6,puede,0.999953958777782
7,parte,0.9999538290171676
8,tiene,0.9999536988908582
9,donde,0.9999535683978236
10,mismo,0.99995343753703
11,ahora,0.9999533063074415
12,tanto,0.9999531747080186
13,segun,0.9999530427377191
14,menos,0.999952910395498
15,mundo,0.9999527776803074
16,antes,0.9999526445910958
17,forma,0.9999525111268095
18,hacer,0.9999523772863919
19,estos,0.9999522430687823
20,mayor,0.9999521084729185
21,hacia,0.9999519734977342
22,ellos,0.9999518381421608
23,hecho,0.999951702405126
24,mucho,0.9999515662855554
25,quien,0.9999514297823704
26,estan,0.9999512928944904
27,lugar,0.9999511556208314
28,mejor,0.999951017960306
29,nuevo,0.9999508799118243
30,decir,0.999950741474293
31,luego,0.9999506026466157
32,medio,0.9999504634276931
33,estas,0.9999503238164226
34,tenia,0.9999501838116985
35,nunca,0.9999500434124124
36,poder,0.9999499026174524
37,veces,0.9999497614257031
38,grupo,0.9999496198360468
39,misma,0.999949477847362
40,nueva,0.9999493354585246
41,mujer,0.9999491926684065
42,cosas,0.9999490494758774
43,tener,0.999948905879803
44,punto,0.9999487618790466
45,noche,0.999948617472467
46,haber,0.9999484726589215
47,fuera,0.999948327437263
48,usted,0.9999481818063413
49,nadie,0.9999480357650034
50,tarde,0.9999478893120927
51,estar,0.9999477424464492
52,padre,0.9999475951669101
53,gente,0.9999474474723091
54,final,0.9999472993614765
55,madre,0.9999471508332395
56,cinco,0.9999470018864217
57,siglo,0.9999468525198437
58,meses,0.9999467027323231
59,maria,0.999946552522673
60,seria,0.9999464018897042
61,junto,0.9999462508322239
62,aquel,0.9999460993490357
63,dicho,0.9999459474389404
64,nivel,0.9999457951007346
65,podia,0.999945642333212
66,largo,0.999945489135163
67,falta,0.9999453355053743
68,hemos,0.9999451814426297
69,trata,0.9999450269457085
70,algun,0.9999448720133878
71,señor,0.9999447166444405
72,claro,0.9999445608376363
73,orden,0.9999444045917412
74,buena,0.9999442479055182
75,libro,0.9999440907777262
76,igual,0.9999439332071212
77,ellas,0.9999437751924551
78,total,0.999943616732477
79,tengo,0.999943457825932
80,unico,0.9999432984715615
81,pesar,0.9999431386681037
82,calle,0.9999429784142931
83,vista,0.9999428177088607
84,campo,0.999942656550534
85,saber,0.9999424949380368
86,obras,0.9999423328700893
87,razon,0.999942170345408
88,estoy,0.999942007362706
89,fondo,0.9999418439206925
90,papel,0.9999416800180736
91,demas,0.999941515653551
92,ambos,0.9999413508258236
93,salud,0.9999411855335857
94,media,0.9999410197755287
95,deben,0.9999408535503398
96,datos,0.9999406868567029
97,julio,0.9999405196932978
98,visto,0.9999403520588008
99,llego,0.9999401839518846
100,bueno,0.999940015371218
101,joven,0.999939846315466
102,sigue,0.9999396767832897
103,cerca,0.9999395067733469
104,valor,0.9999393362842914
105,serie,0.9999391653147729
106,juego,0.9999389938634377
107,epoca,0.9999388219289281
108,banco,0.9999386495098826
109,menor,0.9999384766049361
110,pasar,0.999938303212719
111,queda,0.9999381293318585
112,hacen,0.9999379549609778
113,resto,0.999937780098696
114,causa,0.9999376047436286
115,vamos,0.9999374288943867
116,apoyo,0.9999372525495783
117,civil,0.9999370757078065
118,pedro,0.9999368983676714
119,libre,0.9999367205277684
120,comun,0.9999365421866894
121,dejar,0.9999363633430222
122,salir,0.9999361839953507
123,union,0.9999360041422544
124,favor,0.9999358237823097
125,clase,0.999935642914088
126,color,0.9999354615361571
127,decia,0.9999352796470808
128,quiza,0.9999350972454192
129,unica,0.9999349143297273
130,pueda,0.9999347308985571
131,lleva,0.999934546950456
132,ayuda,0.9999343624839677
133,autor,0.999934177497631
134,suelo,0.9999339919899816
135,viejo,0.9999338059595502
136,tomar,0.999933619404864
137,siete,0.9999334323244455
138,lucha,0.9999332447168137
139,linea,0.9999330565804827
140,norte,0.9999328679139629
141,cargo,0.9999326787157603
142,plaza,0.9999324889843769
143,poner,0.9999322987183105
144,viene,0.9999321079160541
145,radio,0.999931916576097
146,puedo,0.9999317246969243
147,amigo,0.9999315322770166
148,habra,0.9999313393148499
149,santa,0.9999311458088969
150,sabia,0.9999309517576248
151,viaje,0.9999307571594973
152,vivir,0.9999305620129735
153,quedo,0.999930366316508
154,exito,0.9999301700685517
155,carta,0.9999299732675502
156,miedo,0.9999297759119453
157,negro,0.9999295780001743
158,texto,0.9999293795306704
159,mitad,0.9999291805018615
160,fecha,0.9999289809121722
161,seran,0.9999287807600218
162,ideas,0.9999285800438257
163,llega,0.9999283787619941
164,lejos,0.999928176912934
165,facil,0.9999279744950463
166,plazo,0.999927771506729
167,enero,0.999927567946374
168,atras,0.9999273638123701
169,chile,0.999927159103101
170,fuego,0.9999269538169455
171,costa,0.9999267479522781
172,local,0.9999265415074687
173,habla,0.9999263344808832
174,tales,0.9999261268708817
175,sueño,0.9999259186758206
176,paris,0.9999257098940514
177,capaz,0.999925500523921
178,podra,0.9999252905637717
179,dolor,0.9999250800119407
180,temas,0.999924868866761
181,junio,0.9999246571265611
182,marco,0.9999244447896639
183,mucha,0.9999242318543885
184,dicen,0.9999240183190486
185,busca,0.9999238041819539
186,abril,0.9999235894414084
187,armas,0.9999233740957121
188,debia,0.9999231581431599
189,grado,0.9999229415820418
190,carne,0.999922724410643
191,llama,0.9999225066272439
192,jorge,0.9999222882301205
193,corte,0.9999220692175435
194,etapa,0.9999218495877783
195,deseo,0.9999216293390867
196,marzo,0.9999214084697241
197,jamas,0.9999211869779419
198,curso,0.9999209648619866
199,larga,0.9999207421200992
200,lider,0.9999205187505165
201,torno,0.9999202947514693
202,somos,0.9999200701211846
203,cielo,0.9999198448578837
204,ambas,0.9999196189597828
205,doble,0.9999193924250935
206,crear,0.9999191652520221
207,casas,0.9999189374387699
208,lista,0.9999187089835333
209,grave,0.9999184798845031
210,tenga,0.9999182501398657
211,lunes,0.999918019747802
212,junta,0.9999177887064876
213,sitio,0.9999175570140936
214,gusta,0.9999173246687851
215,clara,0.999917091668723
216,moral,0.9999168580120621
217,gusto,0.9999166236969524
218,hotel,0.9999163887215387
219,salio,0.9999161530839608
220,nueve,0.9999159167823529
221,abajo,0.999915679814844
222,venta,0.999915442179558
223,ramon,0.9999152038746133
224,aires,0.999914964898123
225,aguas,0.9999147252481956
226,dicha,0.9999144849229329
227,golpe,0.9999142439204327
228,pobre,0.9999140022387865
229,llevo,0.999913759876081
230,coche,0.9999135168303972
231,leche,0.9999132730998109
232,tarea,0.9999130286823925
233,plata,0.9999127835762065
234,dando,0.9999125377793124
235,ganar,0.9999122912897643
236,calor,0.9999120441056105
237,suele,0.999911796224894
238,ritmo,0.9999115476456522
239,plano,0.9999112983659172
240,jugar,0.999911048383715
241,gesto,0.9999107976970667
242,vasco,0.9999105463039877
243,verde,0.9999102942024872
244,pidio,0.9999100413905694
245,comer,0.9999097878662329
246,fines,0.9999095336274701
247,labor,0.9999092786722688
248,justo,0.9999090229986097
249,museo,0.999908766604469
250,pagar,0.9999085094878166
251,sabes,0.9999082516466171
252,santo,0.999907993078829
253,vieja,0.999907733782405
254,reina,0.9999074737552923
255,salvo,0.9999072129954324
256,quiso,0.9999069515007607
257,acaba,0.9999066892692068
258,marca,0.9999064262986948
259,pleno,0.9999061625871424
260,brazo,0.9999058981324622
261,acaso,0.9999056329325603
262,error,0.999905366985337
263,poeta,0.9999051002886867
264,clave,0.9999048328404982
265,logro,0.9999045646386544
266,sirve,0.9999042956810312
267,deuda,0.9999040259654995
268,feliz,0.9999037554899245
269,tanta,0.9999034842521641
270,mente,0.9999032122500715
271,breve,0.9999029394814928
272,firma,0.9999026659442688
273,canal,0.9999023916362341
274,conde,0.9999021165552164
275,carga,0.9999018406990388
276,reyes,0.9999015640655166
277,abrir,0.9999012866524599
278,negra,0.9999010084576726
279,morir,0.9999007294789524
280,caida,0.9999004497140904
281,banda,0.999900169160872
282,frase,0.9998998878170758
283,bases,0.9998996056804749
284,culpa,0.9998993227488352
285,entra,0.9998990390199171
286,hayan,0.9998987544914743
287,diego,0.9998984691612544
288,actor,0.9998981830269981
289,sacar,0.9998978960864408
290,murio,0.9998976083373102
291,saben,0.9998973197773288
292,corto,0.999897030404212
293,salon,0.9998967402156687
294,cifra,0.999896449209402
295,bolsa,0.9998961573831078
296,fuese,0.999895864734476
297,serio,0.9998955712611898
298,reino,0.9998952769609257
299,plena,0.9998949818313538
300,venia,0.9998946858701382
301,legal,0.9998943890749356
302,abrio,0.9998940914433962
303,china,0.9998937929731642
304,creer,0.9998934936618763
305,angel,0.9998931935071633
306,temor,0.9998928925066491
307,penso,0.9998925906579504
308,dudas,0.9998922879586783
309,lleno,0.9998919844064361
310,vacio,0.9998916799988208
311,ciclo,0.9998913747334226
312,valle,0.9998910686078248
313,llamo,0.9998907616196041
314,pecho,0.9998904537663305
315,honor,0.9998901450455665
316,pedir,0.9998898354548683
317,mirar,0.9998895249917852
318,clima,0.9998892136538593
319,punta,0.9998889014386262
320,posee,0.9998885883436143
321,entro,0.9998882743663449
322,pacto,0.9998879595043324
323,penal,0.9998876437550845
324,llena,0.9998873271161015
325,disco,0.999887009584877
326,ideal,0.9998866911588972
327,villa,0.9998863718356414
328,venir,0.999886051612582
329,ruido,0.9998857304871839
330,basta,0.9998854084569049
331,tabla,0.9998850855191961
332,avion,0.9998847616715005
333,hablo,0.9998844369112553
334,humor,0.9998841112358893
335,ganas,0.9998837846428243
336,dosis,0.9998834571294751
337,pared,0.9998831286932491
338,perro,0.9998827993315463
339,añade,0.9998824690417597
340,viven,0.9998821378212748
341,debio,0.9998818056674693
342,hogar,0.9998814725777142
343,pieza,0.9998811385493726
344,firme,0.9998808035798004
345,exige,0.9998804676663461
346,polvo,0.9998801308063506
347,luces,0.9998797929971475
348,virus,0.9998794542360624
349,nacio,0.9998791145204141
350,animo,0.9998787738475131
351,cesar,0.9998784322146632
352,gasto,0.99987808961916
353,pausa,0.9998777460582912
354,esten,0.9998774015293375
355,playa,0.9998770560295717
356,horno,0.9998767095562591
357,japon,0.9998763621066569
358,anual,0.9998760136780146
359,norma,0.9998756642675747
360,tomas,0.9998753138725711
361,dulce,0.9998749624902301
362,mando,0.9998746101177705
363,chica,0.9998742567524029
364,unido,0.9998739023913302
365,acabo,0.9998735470317477
366,solar,0.9998731906708422
367,costo,0.9998728333057931
368,tesis,0.9998724749337717
369,ocupa,0.9998721155519411
370,patio,0.999871755157457
371,corta,0.9998713937474664
372,señal,0.9998710313191085
373,paseo,0.9998706678695146
374,arena,0.9998703033958083
375,dejan,0.9998699378951041
376,barco,0.999869571364509
377,signo,0.9998692038011219
378,arbol,0.9998688352020337
379,vemos,0.9998684655643263
380,oscar,0.999868094885074
381,pista,0.9998677231613432
382,marta,0.999867350390191
383,desea,0.9998669765686673
384,pasan,0.999866601693813
385,vuelo,0.9998662257626609
386,silla,0.9998658487722354
387,chico,0.9998654707195527
388,conto,0.9998650916016204
389,feria,0.9998647114154376
390,rueda,0.9998643301579953
391,verse,0.9998639478262756
392,hecha,0.9998635644172523
393,ponen,0.9998631799278908
394,matar,0.9998627943551479
395,motor,0.9998624076959717
396,rumbo,0.9998620199473018
397,trato,0.9998616311060692
398,pense,0.9998612411691961
399,creia,0.9998608501335962
400,borde,0.9998604579961746
401,metro,0.9998600647538276
402,creen,0.9998596704034424
403,dueño,0.9998592749418982
404,bajar,0.9998588783660647
405,rusia,0.9998584806728029
406,subir,0.9998580818589656
407,droga,0.999857681921396
408,bajas,0.9998572808569286
409,vivia,0.9998568786623893
410,reloj,0.9998564753345944
411,danza,0.9998560708703523
412,notas,0.9998556652664612
413,suave,0.999855258519711
414,masas,0.999854850626883
415,arroz,0.999854441584748
416,goles,0.9998540313900689
417,fruto,0.9998536200395995
